ILCE;GENEL_SIRALAMA;IL_ICI_SIRALAMA;SKOR;KADEME
Konak;11;1;3.465;1
Bornova;17;2;3.028;1
Balçova;18;3;2.902;1
Karşıyaka;37;4;2.222;1
Çiğli;41;5;2.046;1
Gaziemir;43;6;2.031;1
Çeşme;45;7;1.998;1
Güzelbahçe;52;8;1.882;1
Urla;59;9;1.768;1
Narlıdere;67;10;1.632;1
Bayraklı;92;11;1.322;2
Buca;99;12;1.227;2
Aliağa;105;13;1.154;2
Karabağlar;120;14;1.078;2
Kemalpaşa;133;15;0.983;2
Torbalı;138;16;0.927;2
Seferihisar;139;17;0.924;2
Menderes;145;18;0.903;2
Foça;154;19;0.844;2
Menemen;156;20;0.838;2
Selçuk;178;21;0.690;2
Karaburun;186;22;0.676;2
Dikili;200;23;0.609;2
Tire;221;24;0.500;2
Bergama;241;25;0.379;3
Ödemiş;250;26;0.336;3
Kınık;493;27;-0.297;4
Bayındır;503;28;-0.304;4
Beydağ;618;29;-0.481;4
Kiraz;715;30;-0.599;5
